Title;Abstract;Focus area(s);Geographical coverage;Type of resource;Entity;Publication date;Authors;DOI/URI;Tags;
Brecha de ingresos laborales por gŽnero en Repśblica Dominicana: un an‡lisis de la evoluci—n en el per’odo 2000 a 2019;En Repśblica Dominicana se puede apreciar que existe una brecha de ingresos laborales entre hombres y mujeres que se concentra en el sector informal, trabajadores por cuenta propia, y en regiones con econom’as menos din‡micas. Esta brecha no puede explicarse por la experiencia, las caracter’sticas personales y familiares, el sector, la actividad econ—mica, las ocupaciones, la regi—n del pa’s o el entorno (urbano o rural). En muchos casos, ocurre incluso cuando las mujeres tienen mejor perfil laboral, por lo que probablemente estŽ relacionada con sesgos de genero (comśnmente conocidos como discriminaci—n) que se manifiestan en legislaciones inadecuadas, sesgos cognitivos, costos laborales relacionados con el cuidado de los hijos que no se visibilizan en la sociedad, o discriminaci—n � la Becker. En el presente documento se analiza la evoluci—n de la brecha de gŽnero en Repśblica Dominicana entre 2000 y 2019. Se utilizan como insumo las Encuestas Nacionales de Fuerza de Trabajo realizadas por la Oficina Nacional de Estad’sticas (ONE) y armonizadas por el Banco Interamericano de Desarrollo (BID), y se presentan dos modelos para la estimaci—n de la brecha de ingresos laborales, las descomposiciones Blinder-Oaxaca y Nopo. A travŽs del an‡lisis en el tiempo, se evidencia que el comportamiento de la brecha de ingresos por gŽnero no muestra un patr—n claro de reducci—n o aumento en el periodo analizado.;Access to Jobs;Caribbean;Technical note;Inter-American Development Bank;Mar-23;"Urquidi, Manuel;  Serrate, Liliana;  Chalup, Miguel";http://dx.doi.org/10.18235/0004861;Gender Pay Gap, Employment Access & Opportunities;
Gender Contribution to the Innovation-Productivity Relationship in the Wake of COVID-19: Evidence for the Caribbean;This study presents new findings on the impact of the COVID-19 pandemic on productivity and innovation for Caribbean firms, with particular focus on the effects on firm gender diversity and workforce composition. Research on the impact of women's participation on firm performance and innovation has so far produced mixed results, though there is some evidence to suggest that for Latin America, larger shares of women in the knowledge creation and innovation process may increase innovative behavior and, as a consequence, lead to greater labor productivity. In the current context, female participation in firms becomes an even more pressing issue, given the early indications of the pandemics disproportionately negative burden on women s income and jobs in different regions. We found that the gender composition of the personnel has an interesting direct effect on productivity. At the same time, our results show that the expected reductions in female personnel due to the pandemic, have a negative effect in the shares of female participation which, in turn, have the potential to nullify the mentioned productivity channel. This suggests the existence of a minimum threshold of female participation to profit from diversity. Hence, it seems that policy should focus particularly on protecting female jobs, particularly in the wake of dramatic shocks affecting revenues and/or employment.;Other;Caribbean;Working paper;Inter-American Development Bank;Mar-23;"Tacsir, Ezequiel;  Pereira, Mariano";http://dx.doi.org/10.18235/0004770;Private Sector, External Shocks, Employment Access & Opportunities, Productivity;
Breaking Barriers to WomenŐs Economic Inclusion in Saint Lucia;This note aims to identify gendered barriers to economic inclusion in Saint Lucia, barriers that not only harm the well-being of girls and women but work against economic growth and poverty reduction generally. The note further aims to inform policy developments in this area. Its underlying analysis assumes that gender gaps in employment and entrepreneurship are explained by barriers related to gaps in the accumulation of human capital, especially health and education, the misallocation of talent, and limitations in access to productive assets, including finance and land ownership.;Access to Jobs, Human Capital, Ownership and Use of Economic Assets;Caribbean;Report;The World Bank;Mar-23;De Paz Nieves, Carmen;http://documents.worldbank.org/curated/en/099609103292337340/IDU0b1cdde56070e304ded0afff0973edf26d7be;Education, Productivity, Employment Access & Opportunities, Health;
Breaking Barriers to WomenŐs Economic Inclusion in GrenadaĘ;Grenada is a small upper-middle-income Caribbean Island with a young population, prone to natural disasters but also with an economy that is highly dependent on tourism. This policy note seeks to identify gendered barriers to economic inclusion in Grenada and to inform policy developments to promote progress in this area. Barriers to womenŐs economic participation not only hurt womenŐs well-being but also harm the countryŐs growth and poverty-reduction prospects. The analysis considers barriers related to gaps in the accumulation of human capital, the misallocation of talent, and limitations in access to productive assets, including land and finance. The overall finding is that improving gender equality in economic participation offers a promising pathway to recovery in Grenada, as demonstrated by other country experiences across the world and particularly in the Latin America and the Caribbean (LAC) region.;Access to Jobs, Human Capital, Ownership and Use of Economic Assets;Caribbean;Report;The World Bank;Mar-23;De Paz Nieves, Carmen;https://documents.worldbank.org/pt/publication/documents-reports/documentdetail/099603503082357057/idu0d3d82498080b0049d80931b04db7448ac3d6;Education, Productivity, Employment Access & Opportunities, Poverty, Health;
Gender Diversity, Innovation, and Open Innovation in the Caribbean Region;The Caribbean economies are well-ranked in terms of womens participation in the labor market, but less so in terms of innovation, suggesting the relevance of an analysis of gender diversitys impact on innovation. This paper examines how gender diversity in Caribbean firm affects the formation of external partnerships and agreements for innovation, and also how the effects of that diversity on innovative outcomes are influenced by the presence of women in diverse positions within a firm. Using information for 13 Caribbean countries from the Innovation, Firm Productivity and Gender (IFPG) database, this study confirms gender diversity as a factor which both improves the likelihood of innovation, as well as spurring the decision to collaborate with other firms and organizations. However, impacts will depend on the areas within a firm in which women are present. Gender diversity in the total workforce and in production and non-production activities is more effective than when women are present in areas solely related to management. These findings prompt a reflection on policy implications around the definition or improvement of measures oriented to the closing of innovation-related gender gaps.;Access to Jobs, Other;Caribbean;Technical note;Inter-American Development Bank;Apr-23;"çlvarez, Isabel;ĘĘCastillo, Yury";http://dx.doi.org/10.18235/0004853;Productivity, Leadership & Management;
The Impact of the One-Stop Shop for Business Registration in the Dominican Republic;Digital one-stop shops for firm registration can significantly reduce costs and increase access to information for firms entering the formal sector. This paper examines the impact of a nationwide program with a one-stop registration shop and lower registration fees. In addition to analyzing its impact on the number of firms registering in the formal sector, this study explores how the program reshapes the labor market for women and men. The empirical setting, the Dominican Republic, is characterized by high levels of firm and labor informality. The government launched the digital one-stop shop called Formal’zate in 2013. To analyze its impact, this paper takes advantage of the sequential rollout of the program across provinces in the country. Results show that the launch of the program in a province is associated with a greater number of micro firms entering the formal market. Interestingly, these firms are concentrated in sectors in which informality was high prior to rollout of the program, especially the commerce and tourism sector. In addition, the results show that women's participation in the labor forced is impacted by the program, but men's participation is not. More specifically, the presence of Formal’zate increased women's participation in the labor market as self-employed entrepreneurs.;Access to and Use of Services;Caribbean;Working paper;Inter-American Development Bank;May-23;"Bobi_, Vida;  Delgado, Lucia;  Gerardino, Mar’a Paula; Hennessey, Michael;  Martinez-Carrasco, JosŽ";http://dx.doi.org/10.18235/0005089;Productivity, Informal Economic Activity, Private Sector, Digital Technologies & Services;
Gender Gaps in the English-speaking Caribbean: Education, Skills, and Wages;"This document contributes to the understanding of the reasons behind gender gaps in education and how they translate into labor market outcomes and trajectories in the English-speaking Caribbean. What are the main characteristics of these gaps? Are they observed through the entire life cycle? Do they grow over time? What factors can explain them? A detailed analysis of updated educational and labor market data for five countries of the English-speaking Caribbean - The Bahamas, Barbados, Guyana, Jamaica, and Trinidad and Tobago- complements previous studies by: (a) following the English-speaking Caribbean population from primary school to the labor market; (b) assessing the existence of gender gaps in education and in the labor market separately; and (c) analyzing the relationship between them and how one affects the other. The analysis confirms previously documented trends. Males tend to underachieve in terms of secondary and post-secondary studies when compared to females, as measured by enrollment, completion rates and learning outcomes. Our study analyses different factors that could be driving these gaps, such as gender roles, socialization processes for both girls and boys, classroom pedagogy in Caribbean schools, school curricula, and corporal punishment in households and schools. Despite females better results in education, their outcomes in the labor market are less favorable than those of males. Women show lower participation, and among labor market participants, they have higher unemployment rates and lower wages than men. For The Bahamas and Guyana, we document that wage gaps are primarily driven by non-observable characteristics unrelated to labor productivity. By contrast, in Barbados, Jamaica and Trinidad and Tobago, wage gaps seem to be mainly driven by labor market experience, occupational rank, and industrial sector. Reductions in gender-based sectoral and occupational segregation could significantly close the wage gaps observed in the latter countries. We recommend the continued collection of timely and accurate disaggregated data to inform policymaking and positively impact inclusive and sustainable development.";Human Capital, Access to Jobs;Caribbean;Technical note;Inter-American Development Bank;May-23;"Thailinger, Agustina;ĘĘPecha, Camilo;ĘĘBeuermann, Diether; Arias Ortiz, Elena;ĘĘHobbs, Cynthia;ĘĘPiras, Claudia";http://dx.doi.org/10.18235/0004935;Education, Productivity, Gender Pay Gap, Norms, Youth;
Structural and Behavioral Barriers to Improving Development Outcomes: The Case of Maternal Care in Haiti;This paper investigates the interplay between structural and behavioral barriers that discourage pregnant women from accessing institutional care in Haiti, where despite some improvements in the past decades, maternal mortality remains a significant challenge. The analysis complements household survey data with data on service provision and qualitative data on beliefs, perceptions, and attitudes toward maternal health care. Using a mixed-methods approach, the paper confirms that transportation and poverty are important barriers that decrease the likelihood of attending maternal health care services. At the same time, the findings show that women suffer from optimism bias and are uncomfortable with the current model of received care. These barriers discourage women from seeking, reaching, and receiving maternal health care services at health institutions. Tackling structural barriers while finding ways to encourage women to shift their beliefs, perceptions, and attitudes are key recommendations to improve maternal health in Haiti.;Access to and Use of Services, Human Capital;Caribbean;Working paper;The World Bank;May-23;"Perge, Emilie Bernadette; Llopis Abella, Jimena; Fruttero, Anna";https://doi.org/10.1596/1813-9450-10421;Basic Services, Healthcare, Transportation & Mobility, Norms, Poverty;
The Rough Road to Services and Livelihood Opportunities in Rural Haiti and the Added Impact of Natural Disasters;Mobility of goods and people in rural Haiti is constrained by the sparce road network and low maintenance of existing infrastructure. These challenges are further exacerbated by frequent natural disasters, including seasonal floods and earthquakes of significant magnitudes. This study conducted household surveys, qualitative interviews with humanitarian and development organizations on the ground, and spatial and statistical analysis to understand the impact of the relative importance of various constraints to accessing schooling, health care, and livelihood opportunities in rural Haiti, especially focusing on the most marginalized population groups. The various data collected corroborate the conclusion that transport issuesŃtravel time, flooded roads, and lack of continuously functioning public transport services, among othersŃare central in the local residentsŐ ability to access services and livelihood opportunities. At the same time, for many marginalized people, such as women and people living with a disability, other significant barriers are present, in terms of lack of affordability, inappropriate design of school and health care facilities, risk of assault, discrimination, and cultural norms. Living in a community where roads where damaged by the August 2021 earthquake is associated with reduced odds of having accessed needed health care or sold any of the produced agricultural harvest in the following months and with higher odds of children having missed school. Overall, the findings point to the need for a broad set of interventionsŃcombining infrastructure and complementary policiesŃto allow everyone, including the most marginalized groups, to gain full access to health, education, and livelihood opportunities.;Access to and Use of Services;Caribbean;Working paper;World Bank Group;Aug-23;"Stokenberga, Aiga
Escalante, Cecilia
Gonzalez, Karla Dominguez
Espinet, Xavier
Becoulet, Malaika";https://openknowledge.worldbank.org/handle/10986/40286;Transportation & Mobility, Care;
Fiscal Policy as a Tool for Gender Equity in El Salvador;This paper analyzes fiscal incidence in El Salvador through a gender lens using the Commitment to Equity model. The study aims to identify fiscal policies that promote gender equality and facilitates evidence-based policy recommendations aimed at reducing gender disparities and promoting more inclusive fiscal policies. The analysis shows that fiscal policy is not pro-poor, as it can lead to a 3.1 percentage point increase in overall poverty using the US$6.85 2017 purchasing power parity poverty line, disproportionately impacting particular groups. Households headed by single women with at least one child under six years old experience a poverty rate increase of 4.3 percentage points, reaching an alarming rate of 42.7 percent. An increasing gender gap in poverty rates is also observed among households where women are the sole providers. The results show that the net fiscal system can increase the incidence of poverty among this group by 4.3 percentage points. In comparison, it increases by only 2.3 percentage points among their male counterparts. A microsimulation exercise of potential fiscal reforms to improve the welfare position of these households reveals that a fiscal package eliminating indirect subsidies, social security exemptions for vulnerable groups, and conditional cash transfers to households that meet certain conditions could reverse these unfavorable outcomes.;Access to and Use of Services, Other;Latin America;Working paper;The World Bank;Aug-23;"Robayo-Abril, Monica
Tribin, Ana Maria
Oliva, JosŽ AndrŽs";https://openknowledge.worldbank.org/handle/10986/40231;Fiscal Policy, Poverty;
The Anatomy of the Financial Inclusion Gap in the Caucasus and Central AsiaĘ;This paper analyses how financial inclusion in the Caucasus and Central Asia (CCA) compares to peers in Central and Eastern Europe (CEE). Using individual-level survey data, it shows that the probability of being financially included, as proxied by account ownership in financial institutions, is substantially lower across gender, income groups, and education levels in all CCA countries relative to CEE comparators. Key determinants of this financial inclusion gap are lower financial and human development indices, weak rule of law, and physical access to bank branches or ATMs. This suggests that targeted policies aimed at boosting financial and human development, strengthening the rule of law, and supporting fintech solutions can broaden financial inclusion in the CCA.;Access to and Use of Services, Human Capital;Central Asia;Working paper;International Monetary Fund;May-23;Poghosyan, Tigran;https://www.imf.org/-/media/Files/Publications/WP/2023/English/wpiea2023109-print-pdf.ashx;Financial Services & Inclusion, Digital Technologies & Services;
Preferences for Wage Discrimination against Women;This study demonstrates systematic bias against women in public perceptions of the fairness of wages. In nationally representative survey experiments across more than 70,000 individual vignettes posed to 4,500 respondents in three Central Asian countries, respondents were 13 percent more likely to say wages were Ňtoo highÓ when the randomly assigned person described in the vignette (subject) was a woman, and 34 percent more likely to say they were Ňtoo lowÓ when the subject was a man. The pattern of bias favoring higher wages for men is statistically significant at conventional levels in all three countries, among both male and female respondents, and in each of the eight occupations studied. The results also demonstrate the presence of significant bias in favor or older workers, specifically for white-collar occupations, and the absence of this relationship for the blue-collar occupations included in the experiment. The findings reinforce the importance of bias as a contributing factor to the gender pay gap, and the value of equal pay regulations to prevent gender discrimination in wage setting.;Access to Jobs, Other;Central Asia;Working paper;The World Bank;Aug-23;Seitz, William;https://openknowledge.worldbank.org/handle/10986/40256;Employment Access & Opportunities, Norms, Gender Pay Gap;
Challenges to WomenŐs Economic Empowerment in Rural Tajikistan: A Study from Road Projects;It assesses why Tajik womenŐs educational attainment is lower, shows how they are under-represented in the job market, and explains the challenges posed by deep-rooted intrafamilial hierarchies. Drawing on survey results, it shows how women benefited from ADB transport projects that included empowerment activities and explains why understanding cultural norms and providing help to start businesses can boost womenŐs socioeconomic capacity.;Human Capital, Access to Jobs, Other;Central Asia;Brief;Asia Development Bank;Sep-23;Idei, Rika Taniguchi, Kiyoshi Bakhtibekova, Zulfiya;http://dx.doi.org/10.22617/BRF230349;Employment Access & Opportunities, Norms, Entrepreneurship, Transportation & Mobility, Economic Empowerment;
Access to trade finance and gender: Survey evidence from Kenya and Tanzania;Survey-based evidence suggests no significant gender gap in international trade participation and access to trade finance.Ą Collateral is more likely to be required for women-owned businesses than for male-owned businesses.Ą Borrower-related constraints matter more for women-owned businesses.;Ownership and Use of Economic Assets;East Africa;Brief;African Development Bank;Jun-23;Michael Machokoto, Francis Hypolite Kemeze, Eugene Bempong Nyantakyi, Ousman Gajigo1, and Lamin M. Drammeh;https://www.afdb.org/en/documents/access-trade-finance-and-gender-survey-evidence-kenya-and-tanzania-volume-14-issue-5;Private Sector, Access to Capital & Productive Inputs, Discrimination;
Learning from Entrepreneurship Programming for WomenŐs Economic Empowerment;"MUVA is a social incubator dedicated to developing innovative approaches to the economic empowerment of women in Mozambique. This paper documents experiences from two MUVA projects supporting womenŐs economic empowerment through entrepreneurship, and draws out broader insights and principles of relevance to other similar programmes. Barriers to womenŐs economic empowerment and strategies to overcome these barriers are both individual and systemic, visible and invisible.

MUVAŐs approach to supporting womenŐs economic empowerment through entrepreneurship involves tailoring three core elements to the specific context of different profiles of women business owners, including urban informal vegetable and fruit traders (MUVA+) and owners of small businesses with untapped growth potential (PAM). Both are groups of low-income female entrepreneurs that are rarely eligible for acceleration and entrepreneurship support. Core programme elements are technical skills, personal development and opportunity generation.

However, the project results show that no particular intervention generates impact. Rather, what generates impact is how interventions are tailored to entrepreneursŐ specific business needs, responding to both the external context and internal constraints each group faces, through adapting methodologies that are more often used by formal businesses and policymakers. To achieve this, MUVA bundled interventions in ways that address both visible and invisible barriers and opportunities.";Access to Jobs;East Africa;Article;Institute for Development Studies;Jun-23;"Thorpe, J.; Ault, A.; Barenboim, I.; Guimar‹es, L.; Quak, E-J. and Taela, KĘ";10.19088/MUVA.2023.001;Productivity, Entrepreneurship;
Women in Ethiopian Tax Administration: Evidence on Representation and Performance;"In the growing body of research on gender and taxation in low-income countries, the implications of having more women in tax administration have received relatively little attention. Using data from employee records and key informant interviews, we examine the representation of women in the workforce of the Ethiopian tax administration, as well as their performance and their misconduct.
The findings show that women dominate the overall workforce in most branch offices. However, women overwhelmingly occupy lower ranked positions and their engagement at the top level of management is quite limited. Our analysis of gender-disaggregated employee performance scores indicates that there is no conclusive evidence to claim women perform better than men employees, though most of the key informants tend to believe otherwise.

However, misconduct records present a strong case that women employees are less likely to commit serious disciplinary misconduct, such as corruption and breaching trust, and more likely to serve for a longer number of years compared to men employees. We also present cross-country comparisons with Uganda and other ATAF member countries.

Our overall findings underline the significant contributions of employing more women in tax administration and the need to further empower women through continued leadership training and mentoring programmes.";Access to Jobs, Other;East Africa;Working paper;Institute for Development Studies;Aug-23;Yimam, S. and Mekonnen, Y.Ę;10.19088/ICTD.2023.034;Employment Access & Opportunities, Fiscal Policy, Norms, Leadership & Management;
Rebel with a Cause: Effects of a Gender Norms Intervention for Adolescents in Somalia;Gender inequality and restrictive norms are often reinforced and internalized during adolescence, influencing pivotal life choices. This paper presents results from a randomly-assigned gender norms intervention for young adolescents in Somalia that led to greater support for gender equality in reported attitudes among both girls and boys. In a novel lab-in-the-field experiment designed to observe social group dynamics, treated adolescents were also found to be less likely to succumb to peer pressure to conform when stating their gender attitudes in public. Perceptions of gender norms appears to shift for boys, leading to a greater public expression of gender egalitarian ideals. Furthermore, the findings show improved adolescent mental health, increased caring behavior towards siblings of the opposite sex, and a higher likelihood of involvement in household chores by boys. A complementary gender norms intervention for parents had limited marginal impact on the attitudes and behaviors of adolescents. The results suggest that gender norms interventions can be effective in influencing the attitudes and public discourse around gender equality, even in early adolescence. ;Other;East Africa;Working paper;The World Bank;Sep-23;"Brar, Rajdev
Buehren, Niklas
Papineni, Sreelakshmi
Sulaiman, Munshi";https://openknowledge.worldbank.org/handle/10986/40357;Norms;
What Happens When Employers Can No Longer Discriminate in Job Ads?;"When employers' explicit gender requests were unexpectedly removed from a Chinese job board overnight, pools of successful applicants became more integrated: women's (men's) share of callbacks to jobs that had requested men (women) rose by 61 (146) percent. The removal ""worked"" in this sense because it generated a large increase in gender-mismatched applications, and because those applications were treated surprisingly well by employers, suggesting that employers' gender requests often represented relatively weak preferences or outdated stereotypes. The job titles that were integrated by the ban, however, were not the most gendered ones, and were disproportionately lower-wage jobs.";Access to Jobs;East Asia;Article;America Economic Review;Apr-23;Peter Kuhn,ĘKailing Shen;10.1257/aer.20211127;Employment Access & Opportunities, Norms;
Fertility, Son-Preference, and the Reversal of the Gender Gap in Literacy/Numeracy Tests;This study examines the relationship between fertility decline and the reversal/narrowing of the gender gap in literacy/numeracy test scores. Drawing on Becker's Quantity-Quality (Q-Q) trade-off model, we propose that in a society such as China, where son-preference is prevalent, the Q-Q trade-off would be larger for daughters than that for sons. An exogenous reduction of fertility would make girls more likely to live in a single-sex family, which in turn increases the share of human capital investment for girls. We test this empirically. To consider the endogenous nature of the demand for children, we exploit an exogenous variation in fertility due to China's family planning policy. Utilising the policy intensity information collected from hundreds of county gazetteers to construct a novel instrument for fertility, we find that a reduction in one sibling narrows the gender gap in numeracy and literacy test scores by 14.8% and 21.4% of a standard deviation in the rural sample and 4.0% and 6.5% in the urban sample. The pattern is more pronounced in regions with a higher proportion of people who prefer a son over a daughter. We also provide suggestive evidence that the channel of the effect is indeed largely through the increased probability of girls living in single-sex families.;Human Capital;East Asia;Discussion paper;IZA;Jun-23;Minhee Chae, Xin Meng, Sen Xue;https://www.iza.org/publications/dp/16208/fertility-son-preference-and-the-reversal-of-the-gender-gap-in-literacynumeracy-tests;Health, Education;
